INFO:__mp_main__:< current epoch -> 5 || 10 of 14 done || time elapsed 7.166100263595581 || current lr -> 0.0001 || current loss -> 0.158429816365242 >
INFO:__mp_main__:< current epoch -> 5 || 11 of 14 done || time elapsed 7.145092487335205 || current lr -> 0.0001 || current loss -> 0.14862436056137085 >
INFO:__mp_main__:< current epoch -> 5 || 12 of 14 done || time elapsed 7.149203777313232 || current lr -> 0.0001 || current loss -> 0.15483328700065613 >
INFO:__mp_main__:< current epoch -> 5 || 13 of 14 done || time elapsed 7.136518239974976 || current lr -> 0.0001 || current loss -> 0.15695543587207794 >
INFO:__mp_main__:< current epoch -> 5 || 14 of 14 done || time elapsed 4.951157808303833 || current lr -> 0.0001 || current loss -> 0.14685165882110596 >
INFO:__mp_main__:------------------------------------ 6 of 100 done, total loss 0.15649172557251795 ------------------------------------
INFO:__mp_main__:< current epoch -> 6 || 1 of 14 done || time elapsed 7.136198043823242 || current lr -> 0.0001 || current loss -> 0.16559235751628876 >
INFO:__mp_main__:< current epoch -> 6 || 2 of 14 done || time elapsed 7.150180101394653 || current lr -> 0.0001 || current loss -> 0.16014283895492554 >
INFO:__mp_main__:< current epoch -> 6 || 3 of 14 done || time elapsed 7.14665675163269 || current lr -> 0.0001 || current loss -> 0.15756751596927643 >
INFO:__mp_main__:< current epoch -> 6 || 4 of 14 done || time elapsed 7.14897346496582 || current lr -> 0.0001 || current loss -> 0.15416643023490906 >
INFO:__mp_main__:< current epoch -> 6 || 5 of 14 done || time elapsed 7.128579139709473 || current lr -> 0.0001 || current loss -> 0.16089609265327454 >
INFO:__mp_main__:< current epoch -> 6 || 6 of 14 done || time elapsed 7.139233350753784 || current lr -> 0.0001 || current loss -> 0.1520439088344574 >
INFO:__mp_main__:< current epoch -> 6 || 7 of 14 done || time elapsed 7.140173435211182 || current lr -> 0.0001 || current loss -> 0.1413644552230835 >
INFO:__mp_main__:< current epoch -> 6 || 8 of 14 done || time elapsed 7.137297630310059 || current lr -> 0.0001 || current loss -> 0.15145938098430634 >
INFO:__mp_main__:< current epoch -> 6 || 9 of 14 done || time elapsed 7.135476350784302 || current lr -> 0.0001 || current loss -> 0.14973734319210052 >
INFO:__mp_main__:< current epoch -> 6 || 10 of 14 done || time elapsed 7.133633375167847 || current lr -> 0.0001 || current loss -> 0.1557428240776062 >
INFO:__mp_main__:< current epoch -> 6 || 11 of 14 done || time elapsed 7.149150848388672 || current lr -> 0.0001 || current loss -> 0.1446308195590973 >
INFO:__mp_main__:< current epoch -> 6 || 12 of 14 done || time elapsed 7.138364553451538 || current lr -> 0.0001 || current loss -> 0.14971889555454254 >
INFO:__mp_main__:< current epoch -> 6 || 13 of 14 done || time elapsed 7.146364688873291 || current lr -> 0.0001 || current loss -> 0.15379421412944794 >
INFO:__mp_main__:< current epoch -> 6 || 14 of 14 done || time elapsed 4.953484296798706 || current lr -> 0.0001 || current loss -> 0.1402795910835266 >
INFO:__mp_main__:------------------------------------ 7 of 100 done, total loss 0.15265261914048875 ------------------------------------
INFO:__mp_main__:< current epoch -> 7 || 1 of 14 done || time elapsed 7.146456480026245 || current lr -> 0.0001 || current loss -> 0.1601950079202652 >
INFO:__mp_main__:< current epoch -> 7 || 2 of 14 done || time elapsed 7.149382591247559 || current lr -> 0.0001 || current loss -> 0.15884025394916534 >
INFO:__mp_main__:< current epoch -> 7 || 3 of 14 done || time elapsed 7.147656202316284 || current lr -> 0.0001 || current loss -> 0.15242056548595428 >
INFO:__mp_main__:< current epoch -> 7 || 4 of 14 done || time elapsed 7.126436948776245 || current lr -> 0.0001 || current loss -> 0.1509353071451187 >
INFO:__mp_main__:< current epoch -> 7 || 5 of 14 done || time elapsed 7.137814998626709 || current lr -> 0.0001 || current loss -> 0.15666167438030243 >
INFO:__mp_main__:< current epoch -> 7 || 6 of 14 done || time elapsed 7.150885343551636 || current lr -> 0.0001 || current loss -> 0.14950580894947052 >
INFO:__mp_main__:< current epoch -> 7 || 7 of 14 done || time elapsed 7.1402668952941895 || current lr -> 0.0001 || current loss -> 0.13853506743907928 >
INFO:__mp_main__:< current epoch -> 7 || 8 of 14 done || time elapsed 7.1227662563323975 || current lr -> 0.0001 || current loss -> 0.14853079617023468 >
INFO:__mp_main__:< current epoch -> 7 || 9 of 14 done || time elapsed 7.139519453048706 || current lr -> 0.0001 || current loss -> 0.14703400433063507 >
INFO:__mp_main__:< current epoch -> 7 || 10 of 14 done || time elapsed 7.152058839797974 || current lr -> 0.0001 || current loss -> 0.15332098305225372 >
